CVI Map File

Image file path:        c:\FlexiTester.OK\plugins\automat.dll
Timestamp:              6067110A (April 02 2021 12:41:46 GMT)
Preferred base address: 10000000

Rva+Base      Symbol                                        Module
10040A90      _DAQmxSetAIRTDR0@16                           NIDAQmx_CG.obj
10040B18      _DAQmxResetAIRTDR0@8                          NIDAQmx_CG.obj
10040B98      _DAQmxGetAIRTDA@12                            NIDAQmx_CG.obj
10040C18      _DAQmxSetAIRTDA@16                            NIDAQmx_CG.obj
10040CB0      _DAQmxResetAIRTDA@8                           NIDAQmx_CG.obj
10040D30      _DAQmxGetAIRTDB@12                            NIDAQmx_CG.obj
10040DB0      _DAQmxSetAIRTDB@16                            NIDAQmx_CG.obj
10040E48      _DAQmxResetAIRTDB@8                           NIDAQmx_CG.obj
10040EC8      _DAQmxGetAIRTDC@12                            NIDAQmx_CG.obj
10040F48      _DAQmxSetAIRTDC@16                            NIDAQmx_CG.obj
10040FE0      _DAQmxResetAIRTDC@8                           NIDAQmx_CG.obj
10041060      _DAQmxGetAIThrmstrA@12                        NIDAQmx_CG.obj
100410E8      _DAQmxSetAIThrmstrA@16                        NIDAQmx_CG.obj
10041190      _DAQmxResetAIThrmstrA@8                       NIDAQmx_CG.obj
10041218      _DAQmxGetAIThrmstrB@12                        NIDAQmx_CG.obj
100412A0      _DAQmxSetAIThrmstrB@16                        NIDAQmx_CG.obj
10041348      _DAQmxResetAIThrmstrB@8                       NIDAQmx_CG.obj
100413D0      _DAQmxGetAIThrmstrC@12                        NIDAQmx_CG.obj
10041458      _DAQmxSetAIThrmstrC@16                        NIDAQmx_CG.obj
10041500      _DAQmxResetAIThrmstrC@8                       NIDAQmx_CG.obj
10041588      _DAQmxGetAIThrmstrR1@12                       NIDAQmx_CG.obj
10041608      _DAQmxSetAIThrmstrR1@16                       NIDAQmx_CG.obj
100416A0      _DAQmxResetAIThrmstrR1@8                      NIDAQmx_CG.obj
10041728      _DAQmxGetAIForceReadFromChan@12               NIDAQmx_CG.obj
10041780      _DAQmxSetAIForceReadFromChan@12               NIDAQmx_CG.obj
100417D8      _DAQmxResetAIForceReadFromChan@8              NIDAQmx_CG.obj
10041830      _DAQmxGetAICurrentUnits@12                    NIDAQmx_CG.obj
10041888      _DAQmxSetAICurrentUnits@12                    NIDAQmx_CG.obj
100418E0      _DAQmxResetAICurrentUnits@8                   NIDAQmx_CG.obj
10041938      _DAQmxGetAICurrentACRMSUnits@12               NIDAQmx_CG.obj
10041990      _DAQmxSetAICurrentACRMSUnits@12               NIDAQmx_CG.obj
100419E8      _DAQmxResetAICurrentACRMSUnits@8              NIDAQmx_CG.obj
10041A40      _DAQmxGetAIStrainUnits@12                     NIDAQmx_CG.obj
10041AC8      _DAQmxSetAIStrainUnits@12                     NIDAQmx_CG.obj
10041B50      _DAQmxResetAIStrainUnits@8                    NIDAQmx_CG.obj
10041BD8      _DAQmxGetAIStrainGageForceReadFromChan@12      NIDAQmx_CG.obj
10041C30      _DAQmxSetAIStrainGageForceReadFromChan@12      NIDAQmx_CG.obj
10041C88      _DAQmxResetAIStrainGageForceReadFromChan@8      NIDAQmx_CG.obj
10041CE0      _DAQmxGetAIStrainGageGageFactor@12            NIDAQmx_CG.obj
10041D38      _DAQmxSetAIStrainGageGageFactor@16            NIDAQmx_CG.obj
10041DA8      _DAQmxResetAIStrainGageGageFactor@8           NIDAQmx_CG.obj
10041E00      _DAQmxGetAIStrainGagePoissonRatio@12          NIDAQmx_CG.obj
10041E58      _DAQmxSetAIStrainGagePoissonRatio@16          NIDAQmx_CG.obj
10041EC8      _DAQmxResetAIStrainGagePoissonRatio@8         NIDAQmx_CG.obj
10041F20      _DAQmxGetAIStrainGageCfg@12                   NIDAQmx_CG.obj
10041FA8      _DAQmxSetAIStrainGageCfg@12                   NIDAQmx_CG.obj
10042030      _DAQmxResetAIStrainGageCfg@8                  NIDAQmx_CG.obj
10042088      _DAQmxGetAIRosetteStrainGageRosetteType@12      NIDAQmx_CG.obj
100420E0      _DAQmxGetAIRosetteStrainGageOrientation@12      NIDAQmx_CG.obj
10042138      _DAQmxSetAIRosetteStrainGageOrientation@16      NIDAQmx_CG.obj
100421A8      _DAQmxResetAIRosetteStrainGageOrientation@8      NIDAQmx_CG.obj
10042200      _DAQmxGetAIRosetteStrainGageStrainChans@16      NIDAQmx_CG.obj
10042258      _DAQmxGetAIRosetteStrainGageRosetteMeasType@12      NIDAQmx_CG.obj
100422B0      _DAQmxSetAIRosetteStrainGageRosetteMeasType@12      NIDAQmx_CG.obj
10042308      _DAQmxResetAIRosetteStrainGageRosetteMeasType@8      NIDAQmx_CG.obj
10042360      _DAQmxGetAIResistanceUnits@12                 NIDAQmx_CG.obj
100423B8      _DAQmxSetAIResistanceUnits@12                 NIDAQmx_CG.obj
10042410      _DAQmxResetAIResistanceUnits@8                NIDAQmx_CG.obj
10042468      _DAQmxGetAIFreqUnits@12                       NIDAQmx_CG.obj
100424E8      _DAQmxSetAIFreqUnits@12                       NIDAQmx_CG.obj
10042568      _DAQmxResetAIFreqUnits@8                      NIDAQmx_CG.obj
100425F0      _DAQmxGetAIFreqThreshVoltage@12               NIDAQmx_CG.obj
10042648      _DAQmxSetAIFreqThreshVoltage@16               NIDAQmx_CG.obj
100426B8      _DAQmxResetAIFreqThreshVoltage@8              NIDAQmx_CG.obj
10042710      _DAQmxGetAIFreqHyst@12                        NIDAQmx_CG.obj
10042798      _DAQmxSetAIFreqHyst@16                        NIDAQmx_CG.obj
10042840      _DAQmxResetAIFreqHyst@8                       NIDAQmx_CG.obj
100428C8      _DAQmxGetAILVDTUnits@12                       NIDAQmx_CG.obj
10042948      _DAQmxSetAILVDTUnits@12                       NIDAQmx_CG.obj
100429C8      _DAQmxResetAILVDTUnits@8                      NIDAQmx_CG.obj
10042A50      _DAQmxGetAILVDTSensitivity@12                 NIDAQmx_CG.obj
10042AA8      _DAQmxSetAILVDTSensitivity@16                 NIDAQmx_CG.obj
10042B18      _DAQmxResetAILVDTSensitivity@8                NIDAQmx_CG.obj
10042B70      _DAQmxGetAILVDTSensitivityUnits@12            NIDAQmx_CG.obj
10042BC8      _DAQmxSetAILVDTSensitivityUnits@12            NIDAQmx_CG.obj
10042C20      _DAQmxResetAILVDTSensitivityUnits@8           NIDAQmx_CG.obj
10042C78      _DAQmxGetAIRVDTUnits@12                       NIDAQmx_CG.obj
10042CF8      _DAQmxSetAIRVDTUnits@12                       NIDAQmx_CG.obj
10042D78      _DAQmxResetAIRVDTUnits@8                      NIDAQmx_CG.obj
10042E00      _DAQmxGetAIRVDTSensitivity@12                 NIDAQmx_CG.obj
10042E58      _DAQmxSetAIRVDTSensitivity@16                 NIDAQmx_CG.obj
10042EC8      _DAQmxResetAIRVDTSensitivity@8                NIDAQmx_CG.obj
10042F20      _DAQmxGetAIRVDTSensitivityUnits@12            NIDAQmx_CG.obj
10042F78      _DAQmxSetAIRVDTSensitivityUnits@12            NIDAQmx_CG.obj
10042FD0      _DAQmxResetAIRVDTSensitivityUnits@8           NIDAQmx_CG.obj
10043028      _DAQmxGetAIEddyCurrentProxProbeUnits@12       NIDAQmx_CG.obj
10043080      _DAQmxSetAIEddyCurrentProxProbeUnits@12       NIDAQmx_CG.obj
100430D8      _DAQmxResetAIEddyCurrentProxProbeUnits@8      NIDAQmx_CG.obj
10043130      _DAQmxGetAIEddyCurrentProxProbeSensitivity@12      NIDAQmx_CG.obj
10043188      _DAQmxSetAIEddyCurrentProxProbeSensitivity@16      NIDAQmx_CG.obj
100431F8      _DAQmxResetAIEddyCurrentProxProbeSensitivity@8      NIDAQmx_CG.obj
10043250      _DAQmxGetAIEddyCurrentProxProbeSensitivityUnits@12      NIDAQmx_CG.obj
100432A8      _DAQmxSetAIEddyCurrentProxProbeSensitivityUnits@12      NIDAQmx_CG.obj
10043300      _DAQmxResetAIEddyCurrentProxProbeSensitivityUnits@8      NIDAQmx_CG.obj
10043358      _DAQmxGetAISoundPressureMaxSoundPressureLvl@12      NIDAQmx_CG.obj
100433B0      _DAQmxSetAISoundPressureMaxSoundPressureLvl@16      NIDAQmx_CG.obj
10043420      _DAQmxResetAISoundPressureMaxSoundPressureLvl@8      NIDAQmx_CG.obj
10043478      _DAQmxGetAISoundPressureUnits@12              NIDAQmx_CG.obj
100434D0      _DAQmxSetAISoundPressureUnits@12              NIDAQmx_CG.obj
10043528      _DAQmxResetAISoundPressureUnits@8             NIDAQmx_CG.obj
10043580      _DAQmxGetAISoundPressuredBRef@12              NIDAQmx_CG.obj
100435D8      _DAQmxSetAISoundPressuredBRef@16              NIDAQmx_CG.obj
10043648      _DAQmxResetAISoundPressuredBRef@8             NIDAQmx_CG.obj
100436A0      _DAQmxGetAIMicrophoneSensitivity@12           NIDAQmx_CG.obj
100436F8      _DAQmxSetAIMicrophoneSensitivity@16           NIDAQmx_CG.obj
10043768      _DAQmxResetAIMicrophoneSensitivity@8          NIDAQmx_CG.obj
100437C0      _DAQmxGetAIAccelUnits@12                      NIDAQmx_CG.obj
10043848      _DAQmxSetAIAccelUnits@12                      NIDAQmx_CG.obj
100438D0      _DAQmxResetAIAccelUnits@8                     NIDAQmx_CG.obj
10043928      _DAQmxGetAIAcceldBRef@12                      NIDAQmx_CG.obj
100439B0      _DAQmxSetAIAcceldBRef@16                      NIDAQmx_CG.obj
10043A50      _DAQmxResetAIAcceldBRef@8                     NIDAQmx_CG.obj
10043AA8      _DAQmxGetAIAccelSensitivity@12                NIDAQmx_CG.obj
10043B00      _DAQmxSetAIAccelSensitivity@16                NIDAQmx_CG.obj
10043B70      _DAQmxResetAIAccelSensitivity@8               NIDAQmx_CG.obj
10043BC8      _DAQmxGetAIAccelSensitivityUnits@12           NIDAQmx_CG.obj
10043C20      _DAQmxSetAIAccelSensitivityUnits@12           NIDAQmx_CG.obj
10043C78      _DAQmxResetAIAccelSensitivityUnits@8          NIDAQmx_CG.obj
10043CD0      _DAQmxGetAIVelocityUnits@12                   NIDAQmx_CG.obj
10043D58      _DAQmxSetAIVelocityUnits@12                   NIDAQmx_CG.obj
10043DE0      _DAQmxResetAIVelocityUnits@8                  NIDAQmx_CG.obj
10043E38      _DAQmxGetAIVelocityIEPESensordBRef@12         NIDAQmx_CG.obj
10043E90      _DAQmxSetAIVelocityIEPESensordBRef@16         NIDAQmx_CG.obj
10043F00      _DAQmxResetAIVelocityIEPESensordBRef@8        NIDAQmx_CG.obj
10043F58      _DAQmxGetAIVelocityIEPESensorSensitivity@12      NIDAQmx_CG.obj
10043FB0      _DAQmxSetAIVelocityIEPESensorSensitivity@16      NIDAQmx_CG.obj
10044020      _DAQmxResetAIVelocityIEPESensorSensitivity@8      NIDAQmx_CG.obj
10044078      _DAQmxGetAIVelocityIEPESensorSensitivityUnits@12      NIDAQmx_CG.obj
100440D0      _DAQmxSetAIVelocityIEPESensorSensitivityUnits@12      NIDAQmx_CG.obj
10044128      _DAQmxResetAIVelocityIEPESensorSensitivityUnits@8      NIDAQmx_CG.obj
10044180      _DAQmxGetAIForceUnits@12                      NIDAQmx_CG.obj
10044208      _DAQmxSetAIForceUnits@12                      NIDAQmx_CG.obj
10044290      _DAQmxResetAIForceUnits@8                     NIDAQmx_CG.obj
100442E8      _DAQmxGetAIForceIEPESensorSensitivity@12      NIDAQmx_CG.obj
10044340      _DAQmxSetAIForceIEPESensorSensitivity@16      NIDAQmx_CG.obj
100443B0      _DAQmxResetAIForceIEPESensorSensitivity@8      NIDAQmx_CG.obj
10044408      _DAQmxGetAIForceIEPESensorSensitivityUnits@12      NIDAQmx_CG.obj
10044460      _DAQmxSetAIForceIEPESensorSensitivityUnits@12      NIDAQmx_CG.obj
100444B8      _DAQmxResetAIForceIEPESensorSensitivityUnits@8      NIDAQmx_CG.obj
10044510      _DAQmxGetAIPressureUnits@12                   NIDAQmx_CG.obj
10044598      _DAQmxSetAIPressureUnits@12                   NIDAQmx_CG.obj
10044620      _DAQmxResetAIPressureUnits@8                  NIDAQmx_CG.obj
10044678      _DAQmxGetAITorqueUnits@12                     NIDAQmx_CG.obj
10044700      _DAQmxSetAITorqueUnits@12                     NIDAQmx_CG.obj
10044788      _DAQmxResetAITorqueUnits@8                    NIDAQmx_CG.obj
10044810      _DAQmxGetAIBridgeUnits@12                     NIDAQmx_CG.obj
10044898      _DAQmxSetAIBridgeUnits@12                     NIDAQmx_CG.obj
10044920      _DAQmxResetAIBridgeUnits@8                    NIDAQmx_CG.obj
100449A8      _DAQmxGetAIBridgeElectricalUnits@12           NIDAQmx_CG.obj
10044A00      _DAQmxSetAIBridgeElectricalUnits@12           NIDAQmx_CG.obj
10044A58      _DAQmxResetAIBridgeElectricalUnits@8          NIDAQmx_CG.obj
10044AB0      _DAQmxGetAIBridgePhysicalUnits@12             NIDAQmx_CG.obj
10044B08      _DAQmxSetAIBridgePhysicalUnits@12             NIDAQmx_CG.obj
10044B60      _DAQmxResetAIBridgePhysicalUnits@8            NIDAQmx_CG.obj
10044BB8      _DAQmxGetAIBridgeScaleType@12                 NIDAQmx_CG.obj
10044C10      _DAQmxSetAIBridgeScaleType@12                 NIDAQmx_CG.obj
10044C68      _DAQmxResetAIBridgeScaleType@8                NIDAQmx_CG.obj
10044CC0      _DAQmxGetAIBridgeTwoPointLinFirstElectricalVal@12      NIDAQmx_CG.obj
10044D18      _DAQmxSetAIBridgeTwoPointLinFirstElectricalVal@16      NIDAQmx_CG.obj
10044D88      _DAQmxResetAIBridgeTwoPointLinFirstElectricalVal@8      NIDAQmx_CG.obj
10044DE0      _DAQmxGetAIBridgeTwoPointLinFirstPhysicalVal@12      NIDAQmx_CG.obj
10044E38      _DAQmxSetAIBridgeTwoPointLinFirstPhysicalVal@16      NIDAQmx_CG.obj
10044EA8      _DAQmxResetAIBridgeTwoPointLinFirstPhysicalVal@8      NIDAQmx_CG.obj
10044F00      _DAQmxGetAIBridgeTwoPointLinSecondElectricalVal@12      NIDAQmx_CG.obj
10044F58      _DAQmxSetAIBridgeTwoPointLinSecondElectricalVal@16      NIDAQmx_CG.obj
10044FC8      _DAQmxResetAIBridgeTwoPointLinSecondElectricalVal@8      NIDAQmx_CG.obj
10045020      _DAQmxGetAIBridgeTwoPointLinSecondPhysicalVal@12      NIDAQmx_CG.obj
10045078      _DAQmxSetAIBridgeTwoPointLinSecondPhysicalVal@16      NIDAQmx_CG.obj
100450E8      _DAQmxResetAIBridgeTwoPointLinSecondPhysicalVal@8      NIDAQmx_CG.obj
10045140      _DAQmxGetAIBridgeTableElectricalVals@16       NIDAQmx_CG.obj
10045198      _DAQmxSetAIBridgeTableElectricalVals@16       NIDAQmx_CG.obj
100451F0      _DAQmxResetAIBridgeTableElectricalVals@8      NIDAQmx_CG.obj
10045248      _DAQmxGetAIBridgeTablePhysicalVals@16         NIDAQmx_CG.obj
100452A0      _DAQmxSetAIBridgeTablePhysicalVals@16         NIDAQmx_CG.obj
100452F8      _DAQmxResetAIBridgeTablePhysicalVals@8        NIDAQmx_CG.obj
10045350      _DAQmxGetAIBridgePolyForwardCoeff@16          NIDAQmx_CG.obj
100453A8      _DAQmxSetAIBridgePolyForwardCoeff@16          NIDAQmx_CG.obj
10045400      _DAQmxResetAIBridgePolyForwardCoeff@8         NIDAQmx_CG.obj
10045458      _DAQmxGetAIBridgePolyReverseCoeff@16          NIDAQmx_CG.obj
100454B0      _DAQmxSetAIBridgePolyReverseCoeff@16          NIDAQmx_CG.obj
10045508      _DAQmxResetAIBridgePolyReverseCoeff@8         NIDAQmx_CG.obj
10045560      _DAQmxGetAIIsTEDS@12                          NIDAQmx_CG.obj
100455E0      _DAQmxGetAITEDSUnits@16                       NIDAQmx_CG.obj
10045660      _DAQmxGetAICoupling@12                        NIDAQmx_CG.obj
100456E8      _DAQmxSetAICoupling@12                        NIDAQmx_CG.obj
10045770      _DAQmxResetAICoupling@8                       NIDAQmx_CG.obj
100457F8      _DAQmxGetAIImpedance@12                       NIDAQmx_CG.obj
10045878      _DAQmxSetAIImpedance@16                       NIDAQmx_CG.obj
10045910      _DAQmxResetAIImpedance@8                      NIDAQmx_CG.obj
10045998      _DAQmxGetAITermCfg@12                         NIDAQmx_CG.obj
10045A18      _DAQmxSetAITermCfg@12                         NIDAQmx_CG.obj
10045A98      _DAQmxResetAITermCfg@8                        NIDAQmx_CG.obj
10045B18      _DAQmxGetAIInputSrc@16                        NIDAQmx_CG.obj
10045BA0      _DAQmxSetAIInputSrc@12                        NIDAQmx_CG.obj
10045C28      _DAQmxResetAIInputSrc@8                       NIDAQmx_CG.obj
10045CB0      _DAQmxGetAIResistanceCfg@12                   NIDAQmx_CG.obj
10045D38      _DAQmxSetAIResistanceCfg@12                   NIDAQmx_CG.obj
10045DC0      _DAQmxResetAIResistanceCfg@8                  NIDAQmx_CG.obj
10045E18      _DAQmxGetAILeadWireResistance@12              NIDAQmx_CG.obj
10045E70      _DAQmxSetAILeadWireResistance@16              NIDAQmx_CG.obj
10045EE0      _DAQmxResetAILeadWireResistance@8             NIDAQmx_CG.obj
10045F38      _DAQmxGetAIBridgeCfg@12                       NIDAQmx_CG.obj
10045FB8      _DAQmxSetAIBridgeCfg@12                       NIDAQmx_CG.obj
10046038      _DAQmxResetAIBridgeCfg@8                      NIDAQmx_CG.obj
100460C0      _DAQmxGetAIBridgeNomResistance@12             NIDAQmx_CG.obj
10046118      _DAQmxSetAIBridgeNomResistance@16             NIDAQmx_CG.obj
10046188      _DAQmxResetAIBridgeNomResistance@8            NIDAQmx_CG.obj
100461E0      _DAQmxGetAIBridgeInitialVoltage@12            NIDAQmx_CG.obj
10046238      _DAQmxSetAIBridgeInitialVoltage@16            NIDAQmx_CG.obj
100462A8      _DAQmxResetAIBridgeInitialVoltage@8           NIDAQmx_CG.obj
10046300      _DAQmxGetAIBridgeInitialRatio@12              NIDAQmx_CG.obj
10046358      _DAQmxSetAIBridgeInitialRatio@16              NIDAQmx_CG.obj
100463C8      _DAQmxResetAIBridgeInitialRatio@8             NIDAQmx_CG.obj
10046420      _DAQmxGetAIBridgeShuntCalEnable@12            NIDAQmx_CG.obj
10046478      _DAQmxSetAIBridgeShuntCalEnable@12            NIDAQmx_CG.obj
100464D0      _DAQmxResetAIBridgeShuntCalEnable@8           NIDAQmx_CG.obj
10046528      _DAQmxGetAIBridgeShuntCalSelect@12            NIDAQmx_CG.obj
10046580      _DAQmxSetAIBridgeShuntCalSelect@12            NIDAQmx_CG.obj
100465D8      _DAQmxResetAIBridgeShuntCalSelect@8           NIDAQmx_CG.obj
10046630      _DAQmxGetAIBridgeShuntCalShuntCalASrc@12      NIDAQmx_CG.obj
10046688      _DAQmxSetAIBridgeShuntCalShuntCalASrc@12      NIDAQmx_CG.obj
100466E0      _DAQmxResetAIBridgeShuntCalShuntCalASrc@8      NIDAQmx_CG.obj
10046738      _DAQmxGetAIBridgeShuntCalGainAdjust@12        NIDAQmx_CG.obj
10046790      _DAQmxSetAIBridgeShuntCalGainAdjust@16        NIDAQmx_CG.obj
10046800      _DAQmxResetAIBridgeShuntCalGainAdjust@8       NIDAQmx_CG.obj
10046858      _DAQmxGetAIBridgeShuntCalShuntCalAResistance@12      NIDAQmx_CG.obj
100468B0      _DAQmxSetAIBridgeShuntCalShuntCalAResistance@16      NIDAQmx_CG.obj
10046920      _DAQmxResetAIBridgeShuntCalShuntCalAResistance@8      NIDAQmx_CG.obj
10046978      _DAQmxGetAIBridgeShuntCalShuntCalAActualResistance@12      NIDAQmx_CG.obj
100469D0      _DAQmxSetAIBridgeShuntCalShuntCalAActualResistance@16      NIDAQmx_CG.obj
10046A40      _DAQmxResetAIBridgeShuntCalShuntCalAActualResistance@8      NIDAQmx_CG.obj
10046A98      _DAQmxGetAIBridgeShuntCalShuntCalBResistance@12      NIDAQmx_CG.obj
10046AF0      _DAQmxSetAIBridgeShuntCalShuntCalBResistance@16      NIDAQmx_CG.obj
10046B60      _DAQmxResetAIBridgeShuntCalShuntCalBResistance@8      NIDAQmx_CG.obj
10046BB8      _DAQmxGetAIBridgeShuntCalShuntCalBActualResistance@12      NIDAQmx_CG.obj
10046C10      _DAQmxSetAIBridgeShuntCalShuntCalBActualResistance@16      NIDAQmx_CG.obj
10046C80      _DAQmxResetAIBridgeShuntCalShuntCalBActualResistance@8      NIDAQmx_CG.obj
10046CD8      _DAQmxGetAIBridgeBalanceCoarsePot@12          NIDAQmx_CG.obj
10046D30      _DAQmxSetAIBridgeBalanceCoarsePot@12          NIDAQmx_CG.obj
10046D88      _DAQmxResetAIBridgeBalanceCoarsePot@8         NIDAQmx_CG.obj
10046DE0      _DAQmxGetAIBridgeBalanceFinePot@12            NIDAQmx_CG.obj
10046E38      _DAQmxSetAIBridgeBalanceFinePot@12            NIDAQmx_CG.obj
10046E90      _DAQmxResetAIBridgeBalanceFinePot@8           NIDAQmx_CG.obj
10046EE8      _DAQmxGetAICurrentShuntLoc@12                 NIDAQmx_CG.obj
10046F40      _DAQmxSetAICurrentShuntLoc@12                 NIDAQmx_CG.obj
10046F98      _DAQmxResetAICurrentShuntLoc@8                NIDAQmx_CG.obj
10046FF0      _DAQmxGetAICurrentShuntResistance@12          NIDAQmx_CG.obj
10047048      _DAQmxSetAICurrentShuntResistance@16          NIDAQmx_CG.obj
100470B8      _DAQmxResetAICurrentShuntResistance@8         NIDAQmx_CG.obj
10047110      _DAQmxGetAIExcitSrc@12                        NIDAQmx_CG.obj
10047198      _DAQmxSetAIExcitSrc@12                        NIDAQmx_CG.obj
10047220      _DAQmxResetAIExcitSrc@8                       NIDAQmx_CG.obj
100472A8      _DAQmxGetAIExcitVal@12                        NIDAQmx_CG.obj
10047330      _DAQmxSetAIExcitVal@16                        NIDAQmx_CG.obj
100473D8      _DAQmxResetAIExcitVal@8                       NIDAQmx_CG.obj
10047460      _DAQmxGetAIExcitUseForScaling@12              NIDAQmx_CG.obj
100474B8      _DAQmxSetAIExcitUseForScaling@12              NIDAQmx_CG.obj
10047510      _DAQmxResetAIExcitUseForScaling@8             NIDAQmx_CG.obj
10047568      _DAQmxGetAIExcitUseMultiplexed@12             NIDAQmx_CG.obj
100475C0      _DAQmxSetAIExcitUseMultiplexed@12             NIDAQmx_CG.obj
10047618      _DAQmxResetAIExcitUseMultiplexed@8            NIDAQmx_CG.obj
10047670      _DAQmxGetAIExcitActualVal@12                  NIDAQmx_CG.obj
100476C8      _DAQmxSetAIExcitActualVal@16                  NIDAQmx_CG.obj
10047738      _DAQmxResetAIExcitActualVal@8                 NIDAQmx_CG.obj
10047790      _DAQmxGetAIExcitDCorAC@12                     NIDAQmx_CG.obj
10047818      _DAQmxSetAIExcitDCorAC@12                     NIDAQmx_CG.obj
100478A0      _DAQmxResetAIExcitDCorAC@8                    NIDAQmx_CG.obj
10047928      _DAQmxGetAIExcitVoltageOrCurrent@12           NIDAQmx_CG.obj
10047980      _DAQmxSetAIExcitVoltageOrCurrent@12           NIDAQmx_CG.obj
100479D8      _DAQmxResetAIExcitVoltageOrCurrent@8          NIDAQmx_CG.obj
10047A30      _DAQmxGetAIExcitIdleOutputBehavior@12         NIDAQmx_CG.obj
10047A88      _DAQmxSetAIExcitIdleOutputBehavior@12         NIDAQmx_CG.obj
10047AE0      _DAQmxResetAIExcitIdleOutputBehavior@8        NIDAQmx_CG.obj
10047B38      _DAQmxGetAIACExcitFreq@12                     NIDAQmx_CG.obj
10047BC0      _DAQmxSetAIACExcitFreq@16                     NIDAQmx_CG.obj
10047C68      _DAQmxResetAIACExcitFreq@8                    NIDAQmx_CG.obj
10047CF0      _DAQmxGetAIACExcitSyncEnable@12               NIDAQmx_CG.obj
10047D48      _DAQmxSetAIACExcitSyncEnable@12               NIDAQmx_CG.obj
10047DA0      _DAQmxResetAIACExcitSyncEnable@8              NIDAQmx_CG.obj
10047DF8      _DAQmxGetAIACExcitWireMode@12                 NIDAQmx_CG.obj
10047E50      _DAQmxSetAIACExcitWireMode@12                 NIDAQmx_CG.obj
10047EA8      _DAQmxResetAIACExcitWireMode@8                NIDAQmx_CG.obj
10047F00      _DAQmxGetAIOpenThrmcplDetectEnable@12         NIDAQmx_CG.obj
10047F58      _DAQmxSetAIOpenThrmcplDetectEnable@12         NIDAQmx_CG.obj
10047FB0      _DAQmxResetAIOpenThrmcplDetectEnable@8        NIDAQmx_CG.obj
10048008      _DAQmxGetAIThrmcplLeadOffsetVoltage@12        NIDAQmx_CG.obj
10048060      _DAQmxSetAIThrmcplLeadOffsetVoltage@16        NIDAQmx_CG.obj
100480D0      _DAQmxResetAIThrmcplLeadOffsetVoltage@8       NIDAQmx_CG.obj
10048128      _DAQmxGetAIAtten@12                           NIDAQmx_CG.obj
10048198      _DAQmxSetAIAtten@16                           NIDAQmx_CG.obj
10048220      _DAQmxResetAIAtten@8                          NIDAQmx_CG.obj
100482A0      _DAQmxGetAIProbeAtten@12                      NIDAQmx_CG.obj
10048328      _DAQmxSetAIProbeAtten@16                      NIDAQmx_CG.obj
100483C8      _DAQmxResetAIProbeAtten@8                     NIDAQmx_CG.obj
10048420      _DAQmxGetAILowpassEnable@12                   NIDAQmx_CG.obj
100484A8      _DAQmxSetAILowpassEnable@12                   NIDAQmx_CG.obj
10048530      _DAQmxResetAILowpassEnable@8                  NIDAQmx_CG.obj
10048588      _DAQmxGetAILowpassCutoffFreq@12               NIDAQmx_CG.obj
100485E0      _DAQmxSetAILowpassCutoffFreq@16               NIDAQmx_CG.obj
10048650      _DAQmxResetAILowpassCutoffFreq@8              NIDAQmx_CG.obj
100486A8      _DAQmxGetAILowpassSwitchCapClkSrc@12          NIDAQmx_CG.obj
10048700      _DAQmxSetAILowpassSwitchCapClkSrc@12          NIDAQmx_CG.obj
10048758      _DAQmxResetAILowpassSwitchCapClkSrc@8         NIDAQmx_CG.obj
100487B0      _DAQmxGetAILowpassSwitchCapExtClkFreq@12      NIDAQmx_CG.obj
10048808      _DAQmxSetAILowpassSwitchCapExtClkFreq@16      NIDAQmx_CG.obj
10048878      _DAQmxResetAILowpassSwitchCapExtClkFreq@8      NIDAQmx_CG.obj
100488D0      _DAQmxGetAILowpassSwitchCapExtClkDiv@12       NIDAQmx_CG.obj
10048928      _DAQmxSetAILowpassSwitchCapExtClkDiv@12       NIDAQmx_CG.obj
10048980      _DAQmxResetAILowpassSwitchCapExtClkDiv@8      NIDAQmx_CG.obj
100489D8      _DAQmxGetAILowpassSwitchCapOutClkDiv@12       NIDAQmx_CG.obj
10048A30      _DAQmxSetAILowpassSwitchCapOutClkDiv@12       NIDAQmx_CG.obj
10048A88      _DAQmxResetAILowpassSwitchCapOutClkDiv@8      NIDAQmx_CG.obj
10048AE0      _DAQmxGetAIDigFltrEnable@12                   NIDAQmx_CG.obj
10048B68      _DAQmxSetAIDigFltrEnable@12                   NIDAQmx_CG.obj
10048BF0      _DAQmxResetAIDigFltrEnable@8                  NIDAQmx_CG.obj
10048C48      _DAQmxGetAIDigFltrType@12                     NIDAQmx_CG.obj
10048CD0      _DAQmxSetAIDigFltrType@12                     NIDAQmx_CG.obj
10048D58      _DAQmxResetAIDigFltrType@8                    NIDAQmx_CG.obj
10048DE0      _DAQmxGetAIDigFltrResponse@12                 NIDAQmx_CG.obj
10048E38      _DAQmxSetAIDigFltrResponse@12                 NIDAQmx_CG.obj
10048E90      _DAQmxResetAIDigFltrResponse@8                NIDAQmx_CG.obj
10048EE8      _DAQmxGetAIDigFltrOrder@12                    NIDAQmx_CG.obj
10048F40      _DAQmxSetAIDigFltrOrder@12                    NIDAQmx_CG.obj
10048F98      _DAQmxResetAIDigFltrOrder@8                   NIDAQmx_CG.obj
10048FF0      _DAQmxGetAIDigFltrLowpassCutoffFreq@12        NIDAQmx_CG.obj
10049048      _DAQmxSetAIDigFltrLowpassCutoffFreq@16        NIDAQmx_CG.obj
